"LONGITUD","LATITUD","CODIGO_COMUNA","SECTOR"
-75.56041445,6.28248455,"04","Oficial"
-75.55921141,6.28085505,"04","Oficial"
-75.55885093,6.2819954,"04","Oficial"
-75.56594166,6.25900033,"10","Oficial"
-75.55371178,6.29799503,"02","Oficial"
-75.55328983,6.3003301,"02","Oficial"
-75.55107106,6.25569171,"08","Oficial"
-75.55095274,6.25986092,"08","Oficial"
-75.55159225,6.2580186,"08","Oficial"
-75.57694735,6.28391473,"05","Oficial"
-75.54516527,6.2663442,"03","Oficial"
-75.56382864,6.27416117,"04","Oficial"
-75.56279456,6.27267869,"04","Oficial"
-75.57277197,6.28258767,"05","Oficial"
-75.57210426,6.27421083,"05","Oficial"
-75.56421965,6.30653922,"05","Oficial"
-75.61055984,6.22178151,"16","Oficial"
-75.59748265,6.27689651,"07","Oficial"
-75.56843809,6.2977302,"05","Oficial"
-75.61045827,6.26162764,"13","Oficial"
-75.55459481,6.30610711,"02","Oficial"
-75.55267885,6.3056482,"02","Oficial"
-75.55462352,6.30612767,"02","Oficial"
-75.55398611,6.30769142,"02","Oficial"
-75.60046799,6.25842093,"12","Oficial"
-75.60332158,6.25536274,"12","Oficial"
-75.60586647,6.25763997,"12","Oficial"
-75.56529407,6.29827987,"05","Oficial"
-75.61442285,6.25407557,"12","Oficial"
-75.5445084,6.29239846,"01","Oficial"
-75.58484886,6.21495413,"15","Oficial"
-75.57139175,6.29052126,"05","Oficial"
-75.57707566,6.30554716,"06","Oficial"
-75.5598683,6.29079793,"02","Oficial"
-75.5907646,6.2823227,"07","Oficial"
-75.55984863,6.23169052,"09","Oficial"
-75.56014585,6.23096548,"09","Oficial"
-75.60246371,6.20543733,"16","Oficial"
-75.54905503,6.27188165,"03","Oficial"
-75.54952775,6.27292698,"03","Oficial"
-75.5611558,6.2759584,"04","Oficial"
-75.54656842,6.2407126,"08","Oficial"
-75.54679175,6.24125012,"08","Oficial"
-75.54175674,6.23654821,"08","Oficial"
-75.55315607,6.27193177,"03","Oficial"
-75.55342438,6.27146522,"03","Oficial"
-75.55385141,6.27173444,"03","Oficial"
-75.57196261,6.3014616,"06","Oficial"
-75.5719415,6.3014894,"06","Oficial"
-75.58669254,6.22119256,"15","Oficial"
-75.58630469,6.22118351,"15","Oficial"
-75.57713382,6.29318467,"06","Oficial"
-75.57732171,6.29408066,"06","Oficial"
-75.57941369,6.28988635,"06","Oficial"
-75.5766509,6.2932162,"06","Oficial"
-75.57855506,6.29583453,"06","Oficial"
-75.54727195,6.28098901,"03","Oficial"
-75.54777309,6.28133605,"03","Oficial"
-75.54416633,6.28325876,"03","Oficial"
-75.56442184,6.23738721,"10","Oficial"
-75.56230444,6.23869271,"09","Oficial"
-75.59559381,6.2791077,"07","Oficial"
-75.56226779,6.31091271,"05","Oficial"
-75.54658867,6.23358265,"09","Oficial"
-75.54298063,6.22569612,"09","Oficial"
-75.55807623,6.23612181,"09","Oficial"
-75.54762727,6.22698194,"09","Oficial"
-75.57578038,6.30899355,"06","Oficial"
-75.57673871,6.30326663,"06","Oficial"
-75.58084551,6.30224629,"06","Oficial"
-75.59086853,6.29490996,"07","Oficial"
-75.60927793,6.23429984,"16","Oficial"
-75.62112141,6.23607877,"16","Oficial"
-75.5511349,6.23856337,"09","Oficial"
-75.54229113,6.23467894,"09","Oficial"
-75.55255277,6.2416891,"09","Oficial"
-75.54947575,6.29863289,"01","Oficial"
-75.54925401,6.29726693,"01","Oficial"
-75.59343806,6.28510476,"07","Oficial"
-75.61557337,6.24583944,"12","Oficial"
-75.59559835,6.27947044,"07","Oficial"
-75.57608631,6.30638843,"06","Oficial"
-75.59721443,6.23509091,"16","Oficial"
-75.59591479,6.21880727,"16","Oficial"
-75.55002463,6.28681774,"01","Oficial"
-75.5504174,6.2863799,"01","Oficial"
-75.55008523,6.2893784,"01","Oficial"
-75.5393375,6.28401065,"03","Oficial"
-75.55488213,6.24979676,"10","Oficial"
-75.54908461,6.24972591,"08","Oficial"
-75.54964891,6.24921315,"08","Oficial"
-75.54696702,6.288224,"01","Oficial"
-75.54643731,6.28673912,"01","Oficial"
-75.54642727,6.28944944,"01","Oficial"
-75.58473149,6.30011667,"06","Oficial"
-75.56800358,6.31131794,"05","Oficial"
-75.56802062,6.31106226,"05","Oficial"
-75.55641275,6.30138826,"02","Oficial"
-75.5770894,6.20652816,"14","Oficial"
-75.5770894,6.20652816,"14","Oficial"
-75.56939327,6.30633566,"05","Oficial"
-75.62759343,6.27476624,"60","Oficial"
-75.62953207,6.27022461,"60","Oficial"
-75.6266781,6.26533537,"60","Oficial"
-75.5803534,6.28392068,"07","Oficial"
-75.59192761,6.28332019,"07","Oficial"
-75.54779959,6.29290223,"01","Oficial"
-75.54754696,6.29291911,"01","Oficial"
-75.60627741,6.27811198,"07","Oficial"
-75.62909996,6.25866965,"13","Oficial"
-75.62730455,6.25455128,"13","Oficial"
-75.54099853,6.23973259,"08","Oficial"
-75.61469501,6.27671824,"07","Oficial"
-75.56458314,6.292054,"05","Oficial"
-75.56618858,6.28933752,"05","Oficial"
-75.59045018,6.29112287,"07","Oficial"
-75.55907607,6.27935013,"04","Oficial"
-75.57350825,6.29402156,"05","Oficial"
-75.5739042,6.29162472,"05","Oficial"
-75.64208724,6.17463497,"80","Oficial"
-75.64475775,6.17575749,"80","Oficial"
-75.61609359,6.26837562,"13","Oficial"
-75.55721352,6.27123268,"04","Oficial"
-75.55904142,6.26343863,"04","Oficial"
-75.53919181,6.23363654,"08","Oficial"
-75.53928279,6.2341614,"08","Oficial"
-75.53912003,6.23376701,"08","Oficial"
-75.58524431,6.28993858,"06","Oficial"
-75.5749335,6.30007906,"06","Oficial"
-75.57546519,6.30041441,"06","Oficial"
-75.53923097,6.29433058,"01","Oficial"
-75.62015268,6.27750883,"60","Oficial"
-75.6159012,6.27646561,"07","Oficial"
-75.61690716,6.27675303,"07","Oficial"
-75.54670948,6.25021977,"08","Oficial"
-75.54670948,6.25021977,"08","Oficial"
-75.54611898,6.25000811,"08","Oficial"
-75.5539093,6.29547917,"02","Oficial"
-75.55378548,6.29405782,"02","Oficial"
-75.55643409,6.29507774,"02","Oficial"
-75.54075024,6.26410247,"03","Oficial"
-75.55114759,6.23913796,"09","Oficial"
-75.57911652,6.28446912,"05","Oficial"
-75.57955684,6.28548202,"05","Oficial"
-75.57885986,6.2845744,"05","Oficial"
-75.60334098,6.212276,"16","Oficial"
-75.60246504,6.21192725,"16","Oficial"
-75.60237684,6.21224083,"16","Oficial"
-75.56404123,6.23563871,"10","Oficial"
-75.56288252,6.23684329,"09","Oficial"
-75.60158534,6.27885897,"07","Oficial"
-75.5959643,6.29162176,"07","Oficial"
-75.62500882,6.25331112,"13","Oficial"
-75.62664906,6.25193098,"13","Oficial"
-75.62642623,6.24969349,"13","Oficial"
-75.59247634,6.27981389,"07","Oficial"
-75.58153301,6.29085704,"06","Oficial"
-75.58168653,6.29038039,"06","Oficial"
-75.58237571,6.28737003,"06","Oficial"
-75.58334803,6.29219323,"06","Oficial"
-75.54078537,6.24478527,"08","Oficial"
-75.54080143,6.24625481,"08","Oficial"
-75.54918192,6.27349493,"03","Oficial"
-75.55476246,6.30421622,"02","Oficial"
-75.55612502,6.30032184,"02","Oficial"
-75.55328556,6.30297015,"02","Oficial"
-75.55035768,6.30190626,"02","Oficial"
-75.57540664,6.29653295,"06","Oficial"
-75.57634192,6.29828199,"06","Oficial"
-75.5619497,6.25156453,"10","Oficial"
-75.62585723,6.22357349,"70","Oficial"
-75.61350041,6.22107492,"70","Oficial"
-75.54212761,6.25471803,"08","Oficial"
-75.53963314,6.25631213,"08","Oficial"
-75.54012849,6.25054248,"08","Oficial"
-75.55929514,6.30163141,"05","Oficial"
-75.55934194,6.30628838,"05","Oficial"
-75.63721034,6.17732061,"80","Oficial"
-75.63721034,6.17732062,"80","Oficial"
