"FECHA_HECHO","LONGITUD","LATITUD","SEXO","EDAD","MODALIDAD","LUGAR","NOMBRE_BARRIO","COMUNA"
"2019-05-26T22:05:00.000-05:00",-75.56764,6.2835213,"Hombre",22,"Arma de fuego","Vía pública","Moravia","ARANJUEZ"
"2019-05-25T23:49:00.000-05:00",-75.630943,6.2230012,"Hombre",19,"Arma de fuego","Vía pública","Altavista Sector Central","ALTAVISTA"
"2019-05-25T23:48:00.000-05:00",-75.630943,6.2230012,"Hombre",27,"Arma de fuego","Vía pública","Altavista Sector Central","ALTAVISTA"
"2019-05-27T23:21:00.000-05:00",-75.609305,6.279492,"Hombre",16,"Arma de fuego","Zona boscosa","Área de expansión Pajarito","SAN CRISTOBAL"
"2019-05-27T23:21:00.000-05:00",-75.609305,6.279492,"Hombre",18,"Arma de fuego","Zona boscosa","Área de expansión Pajarito","SAN CRISTOBAL"
"2019-05-28T11:15:00.000-05:00",-75.567694,6.2943782,"Hombre",27,"Arma de fuego","Bus de servicio público","Girardot","CASTILLA"
"2019-05-28T22:02:00.000-05:00",-75.5621994,6.24166568,"Hombre",37,"Arma de fuego","Vía pública","El Salvador","BUENOS AIRES"
"2019-04-16T22:00:00.000-05:00",-75.5652602,6.234235703,"Mujer",27,"Por establecer","Zona boscosa","Las Palmas","LA CANDELARIA"
"2019-04-24T22:04:00.000-05:00",-75.614992,6.206008,"Mujer",36,"Arma de fuego","Residencia","San Jose del Manzanillo","ALTAVISTA"
"2019-04-25T23:45:00.000-05:00",-75.641479,6.28193176,"Hombre",28,"Arma de fuego","Vía pública","Travesias","SAN CRISTOBAL"
"2019-04-27T17:50:00.000-05:00",-75.57342,6.24976794,"Hombre",28,"Contundente","Estación de Policía","Guayaquil","LA CANDELARIA"
"2019-04-27T01:24:00.000-05:00",-75.6138717,6.2433339,"Hombre",21,"Arma de fuego","Vía pública","Santa Teresita","LA AMERICA"
"2019-04-27T01:45:00.000-05:00",-75.5845626,6.22764408,"Hombre",23,"Arma de fuego","Vía pública","Trinidad","GUAYABAL"
"2019-04-28T00:35:00.000-05:00",-75.5683161,6.25315148,"Hombre",28,"Cortopunzante","Bar o cantina","La Candelaria","LA CANDELARIA"
"2019-04-29T18:20:00.000-05:00",-75.606567,6.20751637,"Hombre",18,"Arma de fuego","Vía pública","El Rincón","BELEN"
"2019-04-30T02:28:00.000-05:00",-75.5701599,6.25141124,"Mujer",47,"Cortopunzante","Hotel, motel y hostal","San Benito","LA CANDELARIA"
"2019-04-30T20:08:00.000-05:00",-75.6148288,6.2516301,"Hombre",21,"Arma de fuego","Vía pública","Belencito","SAN JAVIER"
"2019-05-01T01:00:00.000-05:00",-75.62387513,6.2613082,"Mujer",23,"Cortopunzante","Quebrada o rio","La Loma","SAN CRISTOBAL"
"2019-05-02T12:40:00.000-05:00",-75.566232,6.26034802,"Hombre",28,"Arma de fuego","Vía pública","Jesús Nazareno","LA CANDELARIA"
"2019-05-02T22:15:00.000-05:00",-75.559801,6.2508086,"Hombre",24,"Arma de fuego","Vía pública","Boston","LA CANDELARIA"
"2019-05-02T22:36:00.000-05:00",-75.5628943,6.2495371,"Hombre",47,"Arma de fuego","Vía pública","La Candelaria","LA CANDELARIA"
"2019-05-03T20:55:00.000-05:00",-75.593173,6.20038433,"Mujer",42,"Arma de fuego","Vehículo particular","La Colina","GUAYABAL"
"2019-05-04T17:16:00.000-05:00",-75.6067978,6.2253035,"Hombre",39,"Arma de fuego","Vía pública","Altavista","BELEN"
"2019-05-04T21:08:00.000-05:00",-75.6111215,6.22279442,"Hombre",28,"Arma de fuego","Vía pública","Altavista","BELEN"
