"","NOMBRE","mean","0.025quant","0.975quant"
"1","POPULAR",-0.461903446184448,-0.816833093053226,-0.10345469315182
"2","SANTA CRUZ",-0.607653405346043,-1.04886712962622,-0.168960417067163
"3","MANRIQUE",-0.135028502236396,-0.648892729322799,0.370974206452128
"4","ARANJUEZ",0.677812084161779,0.193630632069254,1.1705722324281
"5","CASTILLA",0.198853011183356,-0.416054535875879,0.792304367264807
"6","DOCE DE OCTUBRE",-0.293845765019157,-1.24324587064835,0.603825726243572
"7","ROBLEDO",0.59789866507745,0.301104860741396,0.897563369432546
"8","VILLA HERMOSA",0.442668062197246,-0.0521846578838498,0.949892381224963
"9","BUENOS AIRES",-0.255342816267536,-0.861291538520637,0.343058167628859
"10","LA CANDELARIA",2.53143421250782,1.88945434682463,3.16826080607355
"11","LAURELES",0.783150353605372,-0.0782898885797955,1.6916942000374
"12","LA AMERICA",0.214824655279091,-0.348830274618435,0.800097269719465
"13","SAN JAVIER",0.646885475289049,0.15452135825119,1.14515840560769
"14","EL POBLADO",-0.266837000257076,-0.722876628753388,0.18756664810594
"15","GUAYABAL",-0.0417020110984095,-0.372486896988147,0.288717049149144
"16","BELEN",0.714318346330775,0.364239500835603,1.06680926378329
"17","PALMITAS",-2.44586981173555,-3.24928901817988,-1.65351445045189
"18","SAN CRISTOBAL",-0.138326856731575,-0.690691432232709,0.393087202104407
"19","ALTAVISTA",-0.0387893521864981,-0.545790820610453,0.464436692488019
"20","SAN ANTONIO DE PRADO",-0.997701198628936,-1.40603281092979,-0.586265260057906
"21","SANTA ELENA",-1.12502643671036,-1.77658530386611,-0.500539140476364
