OBJECTID,Shape,nombre_establecimiento,sede_educativa,nucleo,servicio,sector,direccion,telefono,estado,vigencia,x_origen_nacional,y_origen_nacional,clasificacion,codigo_dane,cons_sede,dane_sede,longitud,latitud,cbml,codigo_comuna,nombre_comuna,codigo_barrio,nombre_barrio
18,"(4713502.604000001, 2244049.5014999993)",Institucion Educativa Jose Acevedo Y Gomez,Institucion Educativa Jose Acevedo Y Gomez,933,Oficial,Oficial,CL 8 SUR 52 B 72," 2552996, 2853667, 2853736",Activo,2024,4713502.604,2244049.5015,Oficial-Principal,105001000396,10500100039601,105001000396,-75.58990729,6.20236364,15110010043,15,Guayabal,1511,La Colina
19,"(4713536.503400001, 2243736.944)",Institucion Educativa Jose Acevedo Y Gomez,Seccion Escuela Gabriela Mistral,933,Oficial,Oficial,CL 10SUR    52-09,2551446,Activo,2024,4713536.5034,2243736.944,Oficial-Sede,105001015105,10500100039602,105001000396,-75.58958726,6.19953944,15110320001,15,Guayabal,1511,La Colina
20,"(4713292.087300001, 2243481.4307000004)",Institucion Educativa Jose Acevedo Y Gomez,Seccion Escuela La Colina,933,Oficial,Oficial,CR 52C    12ASUR-23,2550356,Activo,2024,4713292.0873,2243481.4307,Oficial-Sede,105001008231,10500100039603,105001000396,-75.59178393,6.19721866,15110720001,15,Guayabal,1511,La Colina
21,"(4713710.7122, 2244062.769200001)",Institucion Educativa Jose Acevedo Y Gomez,Seccion Escuela Republica De Costa Rica,933,Oficial,Oficial,CR 52    7SUR-23,2852538,Activo,2024,4713710.7122,2244062.7692,Oficial-Sede,105001000477,10500100039604,105001000396,-75.5880279,6.20249278,15110010037,15,Guayabal,1511,La Colina
22,"(4717407.1065, 2247665.2896)",Institucion Educativa La Milagrosa,Institucion Educativa La Milagrosa,926,Oficial,Oficial,CR 29 41 14,3243009932,Activo,2024,4717407.1065,2247665.2896,Oficial-Principal,105001000418,10500100041801,105001000418,-75.55479285,6.23522465,09100110001,09,Buenos Aires,0910,La Milagrosa
23,"(4716933.9222, 2247467.9536000025)",Institucion Educativa La Milagrosa,Seccion Escuela Santo Tomas De Aquino,926,Oficial,Oficial,CR 33    36A-28,2163229,Activo,2024,4716933.9222,2247467.9536,Oficial-Sede,105001002381,10500100041802,105001000418,-75.55905914,6.23341983,09130370002,09,Buenos Aires,0913,Loreto
24,"(4713775.643200001, 2245165.9410000015)",Institucion Educativa La Salle De Campoamor,Institucion Educativa La Salle De Campoamor,933,Oficial,Oficial,CR 65 B 4 49,2851571,Activo,2024,4713775.6432,2245165.941,Oficial-Principal,105001000485,10500100048501,105001000485,-75.58749003,6.21246897,15070260001,15,Guayabal,1507,Campo Amor
25,"(4711928.4421, 2246743.6629000027)",Institucion Educativa Ramon Giraldo Ceballos,Institucion Educativa Ramon Giraldo Ceballos,934,Oficial,Oficial,CR 82 A 21 15,3411830,Activo,2024,4711928.4421,2246743.6629,Oficial-Principal,105001000493,10500100049301,105001000493,-75.60424743,6.22665037,16140050001,16,Belén,1614,La Palma
26,"(4717506.355800001, 2248761.3991000038)",Institucion Educativa Caracas,Institucion Educativa Caracas,924,Oficial,Oficial,CL 54 33 67,2168993,Activo,2024,4717506.3558,2248761.3991,Oficial-Principal,105001000566,10500100056601,105001000566,-75.5539442,6.24513872,08090070055,08,Villa Hermosa,0809,Sucre
27,"(4717974.2623000005, 2248593.6668000016)",Institucion Educativa Caracas,Seccion Escuela Beato Hermano Salomon,924,Oficial,Oficial,CL 53 27 A 50,2695371,Activo,2024,4717974.2623,2248593.6668,Oficial-Sede,105001002062,10500100056602,105001000566,-75.5497095,6.24364279,08090010224,08,Villa Hermosa,0809,Sucre
28,"(4718187.409500001, 2249620.6811000016)",Institucion Educativa Escuela Normal Superior De Medellin,Institucion Educativa Escuela Normal Superior De Medellin,924,Oficial,Oficial,CR 34 65 02,604 296 64 90 - 300 4124363,Activo,2024,4718187.4095,2249620.6811,Oficial-Principal,105001000621,10500100062101,105001000621,-75.54782873,6.2529372,08040070001,08,Villa Hermosa,0804,La Ladera
29,"(4715369.719, 2254428.918200001)",Institucion Educativa Alfredo Cock Arango,Institucion Educativa Alfredo Cock Arango,921,Oficial,Oficial,CR 72 99 55,4712592,Activo,2024,4715369.719,2254428.9182,Oficial-Principal,105001000795,10500100079501,105001000795,-75.57349912,6.29628278,06040010001,06,Doce de Octubre,0604,Pedregal
30,"(4710535.3089000005, 2248868.6805000026)",Institucion Educativa Perpetuo Socorro,Institucion Educativa Perpetuo Socorro,931,Confesiones Religiosas,Oficial,CR 92 34 D 53,3147739411,Activo,2024,4710535.3089,2248868.6805,Confesiones Religiosas-Principal,105001000809,10500100080901,105001000809,-75.61692816,6.24579902,13110060001,13,San Javier,1311,Belencito
31,"(4715204.7347, 2253879.3630000018)",Institucion Educativa Jesus Maria El Rosal,Institucion Educativa Jesus Maria El Rosal,920,Confesiones Religiosas,Oficial,CR 72 95 20,3207380,Activo,2024,4715204.7347,2253879.363,Confesiones Religiosas-Principal,105001000841,10500100084101,105001000841,-75.57496533,6.29130709,05110320001,05,Castilla,0511,Castilla
32,"(4710807.192200001, 2247644.3577000014)",Institucion Educativa Republica De Venezuela,Institucion Educativa Republica De Venezuela,934,Oficial,Oficial,Cl 31 C Nº 89 C 92,2388255,Activo,2024,4710807.1922,2247644.3577,Oficial-Principal,105001000868,10500100086801,105001000868,-75.61441702,6.23474289,16160430002,16,Belén,1616,Las Violetas
33,"(4716278.999200001, 2251276.518100001)",Institucion Educativa Javiera Londoño Sevilla,Institucion Educativa Javiera Londoño Sevilla,917,Oficial,Oficial,CL 71 51 D 26,2118291/2336219,Activo,2024,4716278.9992,2251276.5181,Oficial-Principal,105001000876,10500100087601,105001000876,-75.56514379,6.26782327,04070290001,04,Aranjuez,0407,Sevilla
34,"(4715880.8092, 2255701.0058000013)",Institucion Educativa Diego Echavarria Misas,Institucion Educativa Diego Echavarria Misas,919,Oficial,Oficial,CL 111 70 68,2732700 ext 101-103-111,Activo,2024,4715880.8092,2255701.0058,Oficial-Principal,105001000931,10500100093101,105001000931,-75.56893783,6.30780608,05040430001,05,Castilla,0504,Tejelo
35,"(4715801.336700001, 2255810.635300001)",Institucion Educativa Diego Echavarria Misas,Seccion Escuela Eduardo Uribe Botero,919,Oficial,Oficial,CR 74 112 30,2732700 Ext 111 -116,Activo,2024,4715801.3367,2255810.6353,Oficial-Sede,105001001139,10500100093102,105001000931,-75.5696608,6.30879366,05040430003,05,Castilla,0504,Tejelo
36,"(4715609.1442, 2255763.6888000015)",Institucion Educativa Diego Echavarria Misas,Seccion Escuela Estado De Israel,919,Oficial,Oficial,CL 110 A 75 A 1,2732809,Activo,2024,4715609.1442,2255763.6888,Oficial-Sede,105001005657,10500100093103,105001000931,-75.57139528,6.30836066,05040360002,05,Castilla,0504,Tejelo
37,"(4716576.396199999, 2253025.7080000024)",Institucion Educativa Gilberto Alzate Avendaño,Institucion Educativa Gilberto Alzate Avendaño,918,Oficial,Oficial,CL 92 51 A 100,5717731 5221008,Activo,2024,4716576.3962,2253025.708,Oficial-Principal,105001000981,10500100098101,105001000981,-75.56253414,6.28365039,04020090001,04,Aranjuez,0402,San Isidro
38,"(4716490.132000001, 2253059.0753000006)",Institucion Educativa Gilberto Alzate Avendaño,Seccion Escuela Tomas Carrasquilla No. 1,918,Oficial,Oficial,CR 52     92-05,3668358,Activo,2024,4716490.132,2253059.0753,Oficial-Sede,105001000159,10500100098102,105001000981,-75.56331503,6.28394823,04030010026,04,Aranjuez,0403,Palermo
39,"(4716985.654400001, 2253431.5025000013)",Institucion Educativa Gilberto Alzate Avendaño,Seccion Escuela Carlos Villa Martinez,918,Oficial,Oficial,CR 50B    95-06,2367667,Activo,2024,4716985.6544,2253431.5025,Oficial-Sede,105001003361,10500100098103,105001000981,-75.55885434,6.28733719,04020350045,04,Aranjuez,0402,San Isidro
40,"(4716454.680200001, 2252585.1071000043)",Institucion Educativa Gilberto Alzate Avendaño,Seccion Escuela Seguros Bolivar,918,Oficial,Oficial,CR 52    86-21,2637256,Activo,2024,4716454.6802,2252585.1071,Oficial-Sede,105001001708,10500100098104,105001000981,-75.56361437,6.27966164,04040060013,04,Aranjuez,0404,Bermejal-Los Álamos
